scientific,common,order,family,birdnet_label,birdnet_how
Tamias striatus,Eastern Chipmunk,Rodentia,Sciuridae,Tamias striatus_Eastern Chipmunk,exact
Spermophilopsis leptodactyla,Long-clawed Ground Squirrel,Rodentia,Sciuridae,,none
Atlantoxerus getulus,Barbary Ground Squirrel,Rodentia,Sciuridae,Atlantoxerus getulus_Barbary Ground Squirrel,exact
Euxerus erythropus,Striped Ground Squirrel,Rodentia,Sciuridae,,none
Geosciurus inauris,South African Ground Squirrel,Rodentia,Sciuridae,,none
Geosciurus princeps,Damara Ground Squirrel,Rodentia,Sciuridae,,none
Xerus rutilus,Unstriped Ground Squirrel,Rodentia,Sciuridae,,none
Anomalurus beecrofti,Beecroft's Anomalure,Rodentia,Anomaluridae,,none
Anomalurus derbianus,Lord Derby's Anomalure,Rodentia,Anomaluridae,,none
Anomalurus pelii,Pel's Anomalure,Rodentia,Anomaluridae,,none
Anomalurus pusillus,Lesser Anomalure,Rodentia,Anomaluridae,,none
Idiurus macrotis,Long-eared Pygmy Anomalure,Rodentia,Anomaluridae,,none
Idiurus zenkeri,Zenker's Pygmy Anomalure,Rodentia,Anomaluridae,,none
Zenkerella insignis,Zenkerella,Rodentia,Zenkerellidae,,none
Pedetes capensis,Southern African Springhare,Rodentia,Pedetidae,,none
Pedetes surdaster,East African Springhare,Rodentia,Pedetidae,,none
Castor canadensis,North American Beaver,Rodentia,Castoridae,Castor canadensis_American Beaver,exact
Castor fiber,Eurasian Beaver,Rodentia,Castoridae,Castor fiber_Eurasian Beaver,exact
Cratogeomys castanops,Yellow-faced Pocket Gopher,Rodentia,Geomyidae,,none
Cratogeomys fulvescens,Oriental Basin Pocket Gopher,Rodentia,Geomyidae,,none
Cratogeomys fumosus,Smoky Pocket Gopher,Rodentia,Geomyidae,,none
Cratogeomys goldmani,Goldman's Pocket Gopher,Rodentia,Geomyidae,,none
Cratogeomys merriami,Merriam's Pocket Gopher,Rodentia,Geomyidae,,none
Cratogeomys perotensis,Cofre de Perote Pocket Gopher,Rodentia,Geomyidae,,none
Cratogeomys planiceps,Volcan de Toluca Pocket Gopher,Rodentia,Geomyidae,,none
Geomys arenarius,Desert Pocket Gopher,Rodentia,Geomyidae,,none
Geomys attwateri,Attwater's Pocket Gopher,Rodentia,Geomyidae,,none
Geomys brazensis,Brazos Pocket Gopher,Rodentia,Geomyidae,,none
Geomys breviceps,Baird's Pocket Gopher,Rodentia,Geomyidae,,none
Geomys bursarius,Plains Pocket Gopher,Rodentia,Geomyidae,,none
Geomys jugossicularis,Hall's Pocket Gopher,Rodentia,Geomyidae,,none
Geomys knoxjonesi,Jones's Pocket Gopher,Rodentia,Geomyidae,,none
Geomys lutescens,Sand Hills Pocket Gopher,Rodentia,Geomyidae,,none
Geomys mobilensis,Alabama Pocket Gopher,Rodentia,Geomyidae,,none
Geomys personatus,Texas Pocket Gopher,Rodentia,Geomyidae,,none
Geomys pinetis,Southeastern Pocket Gopher,Rodentia,Geomyidae,,none
Geomys streckeri,Strecker's Pocket Gopher,Rodentia,Geomyidae,,none
Geomys texensis,Llano Pocket Gopher,Rodentia,Geomyidae,,none
Geomys tropicalis,Tropical Pocket Gopher,Rodentia,Geomyidae,,none
Heterogeomys cavator,Chiriqui Pocket Gopher,Rodentia,Geomyidae,,none
Heterogeomys cherriei,Cherrie's Pocket Gopher,Rodentia,Geomyidae,,none
Heterogeomys dariensis,Darién Pocket Gopher,Rodentia,Geomyidae,,none
Heterogeomys heterodus,Variable Pocket Gopher,Rodentia,Geomyidae,,none
Heterogeomys hispidus,Hispid Pocket Gopher,Rodentia,Geomyidae,,none
Heterogeomys lanius,Big Pocket Gopher,Rodentia,Geomyidae,,none
Heterogeomys underwoodi,Underwood's Pocket Gopher,Rodentia,Geomyidae,,none
Orthogeomys grandis,Giant Pocket Gopher,Rodentia,Geomyidae,,none
Pappogeomys bulleri,Buller's Pocket Gopher,Rodentia,Geomyidae,,none
Zygogeomys trichopus,Michoacan Pocket Gopher,Rodentia,Geomyidae,,none
Megascapheus atrovarius,Black-and-brown Pocket Gopher,Rodentia,Geomyidae,,none
Megascapheus baileyi,Southwestern Texas Pocket Gopher,Rodentia,Geomyidae,,none
Megascapheus bottae,Botta's Pocket Gopher,Rodentia,Geomyidae,,none
Megascapheus bulbivorus,Camas Pocket Gopher,Rodentia,Geomyidae,,none
Megascapheus connectens,New Mexico Pocket Gopher,Rodentia,Geomyidae,,none
Megascapheus fulvus,Fulvous Pocket Gopher,Rodentia,Geomyidae,,none
Megascapheus laticeps,Northern California Pocket Gopher,Rodentia,Geomyidae,,none
Megascapheus nayarensis,Nayar Pocket Gopher,Rodentia,Geomyidae,,none
Megascapheus nigricans,Southern California Pocket Gopher,Rodentia,Geomyidae,,none
Megascapheus ruidosae,Ruidoso Pocket Gopher,Rodentia,Geomyidae,,none
Megascapheus sheldoni,Sierra Madre Occidental Pocket Gopher,Rodentia,Geomyidae,,none
Megascapheus townsendii,Townsend's Pocket Gopher,Rodentia,Geomyidae,,none
Megascapheus umbrinus,Southern Pocket Gopher,Rodentia,Geomyidae,,none
Thomomys clusius,Wyoming Pocket Gopher,Rodentia,Geomyidae,,none
Thomomys idahoensis,Idaho Pocket Gopher,Rodentia,Geomyidae,,none
Thomomys mazama,Western Pocket Gopher,Rodentia,Geomyidae,,none
Thomomys monticolus,Mountain Pocket Gopher,Rodentia,Geomyidae,,none
Thomomys talpoides,Northern Pocket Gopher,Rodentia,Geomyidae,,none
Dipodomys agilis,Agile Kangaroo Rat,Rodentia,Heteromyidae,,none
Dipodomys californicus,California Kangaroo Rat,Rodentia,Heteromyidae,,none
Dipodomys compactus,Gulf Coast Kangaroo Rat,Rodentia,Heteromyidae,,none
Dipodomys deserti,Desert Kangaroo Rat,Rodentia,Heteromyidae,,none
Dipodomys elator,Texas Kangaroo Rat,Rodentia,Heteromyidae,,none
Dipodomys gravipes,San Quintin Kangaroo Rat,Rodentia,Heteromyidae,,none
Dipodomys heermanni,Heermann's Kangaroo Rat,Rodentia,Heteromyidae,,none
Dipodomys ingens,Giant Kangaroo Rat,Rodentia,Heteromyidae,,none
Dipodomys merriami,Merriam's Kangaroo Rat,Rodentia,Heteromyidae,,none
Dipodomys microps,Chisel-toothed Kangaroo Rat,Rodentia,Heteromyidae,,none
Dipodomys nelsoni,Nelson's Kangaroo Rat,Rodentia,Heteromyidae,,none
Dipodomys nitratoides,San Joaquin Kangaroo Rat,Rodentia,Heteromyidae,,none
Dipodomys ordii,Ord's Kangaroo Rat,Rodentia,Heteromyidae,,none
Dipodomys ornatus,Plateau Kangaroo Rat,Rodentia,Heteromyidae,,none
Dipodomys panamintinus,Panamint Kangaroo Rat,Rodentia,Heteromyidae,,none
Dipodomys phillipsii,Phillips's Kangaroo Rat,Rodentia,Heteromyidae,,none
Dipodomys simulans,Dulzura Kangaroo Rat,Rodentia,Heteromyidae,,none
Dipodomys spectabilis,Banner-tailed Kangaroo Rat,Rodentia,Heteromyidae,,none
Dipodomys stephensi,Stephens's Kangaroo Rat,Rodentia,Heteromyidae,,none
Dipodomys venustus,Narrow-faced Kangaroo Rat,Rodentia,Heteromyidae,,none
Microdipodops albiventer,Bonneville Kangaroo Mouse,Rodentia,Heteromyidae,,none
Microdipodops californicus,Oregon Kangaroo Mouse,Rodentia,Heteromyidae,,none
Microdipodops megacephalus,Owyhee Kangaroo Mouse,Rodentia,Heteromyidae,,none
Microdipodops pallidus,Lahontan Kangaroo Mouse,Rodentia,Heteromyidae,,none
Microdipodops polionotus,Nevada Kangaroo Mouse,Rodentia,Heteromyidae,,none
Microdipodops ruficollaris,Kawich Kangaroo Mouse,Rodentia,Heteromyidae,,none
Heteromys adspersus,Panamanian Spiny Pocket Mouse,Rodentia,Heteromyidae,,none
Heteromys anomalus,Trinidad Spiny Pocket Mouse,Rodentia,Heteromyidae,,none
Heteromys australis,Southern Spiny Pocket Mouse,Rodentia,Heteromyidae,,none
Heteromys bulleri,Buller's Spiny Pocket Mouse,Rodentia,Heteromyidae,,none
Heteromys catopterius,Overlook Spiny Pocket Mouse,Rodentia,Heteromyidae,,none
Heteromys desmarestianus,Desmarest's Spiny Pocket Mouse,Rodentia,Heteromyidae,,none
Heteromys gaumeri,Gaumer's Spiny Pocket Mouse,Rodentia,Heteromyidae,,none
Heteromys goldmani,Goldman's Spiny Pocket Mouse,Rodentia,Heteromyidae,,none
Heteromys irroratus,Mexican Spiny Pocket Mouse,Rodentia,Heteromyidae,,none
Heteromys nelsoni,Nelson's Spiny Pocket Mouse,Rodentia,Heteromyidae,,none
Heteromys nubicolens,Cloud-dwelling Spiny Pocket Mouse,Rodentia,Heteromyidae,,none
Heteromys oasicus,Paraguana Spiny Pocket Mouse,Rodentia,Heteromyidae,,none
Heteromys oresterus,Mountain Spiny Pocket Mouse,Rodentia,Heteromyidae,,none
Heteromys pictus,Painted Spiny Pocket Mouse,Rodentia,Heteromyidae,,none
Heteromys salvini,Salvin's Spiny Pocket Mouse,Rodentia,Heteromyidae,,none
Heteromys spectabilis,Jaliscan Spiny Pocket Mouse,Rodentia,Heteromyidae,,none
Heteromys teleus,Ecuadorean Spiny Pocket Mouse,Rodentia,Heteromyidae,,none
Chaetodipus ammophilus,Dalquest's Pocket Mouse,Rodentia,Heteromyidae,,none
Chaetodipus arenarius,Little Desert Pocket Mouse,Rodentia,Heteromyidae,,none
Chaetodipus artus,Narrow-skulled Pocket Mouse,Rodentia,Heteromyidae,,none
Chaetodipus baileyi,Bailey's Pocket Mouse,Rodentia,Heteromyidae,,none
Chaetodipus californicus,California Pocket Mouse,Rodentia,Heteromyidae,Chaetodipus californicus_California Pocket Mouse,exact
Chaetodipus collis,Highland Coarse-haired Pocket Mouse,Rodentia,Heteromyidae,,none
Chaetodipus durangae,Durango Coarse-haired Pocket Mouse,Rodentia,Heteromyidae,,none
Chaetodipus eremicus,Chihuahuan Desert Pocket Mouse,Rodentia,Heteromyidae,,none
Chaetodipus fallax,San Diego Pocket Mouse,Rodentia,Heteromyidae,,none
Chaetodipus formosus,Long-tailed Pocket Mouse,Rodentia,Heteromyidae,,none
Chaetodipus goldmani,Goldman's Pocket Mouse,Rodentia,Heteromyidae,,none
Chaetodipus hispidus,Hispid Pocket Mouse,Rodentia,Heteromyidae,,none
Chaetodipus intermedius,Rock Pocket Mouse,Rodentia,Heteromyidae,,none
Chaetodipus nelsoni,Nelson's Coarse-haired Pocket Mouse,Rodentia,Heteromyidae,,none
Chaetodipus penicillatus,Desert Pocket Mouse,Rodentia,Heteromyidae,,none
Chaetodipus pernix,Southern Sinaloan Pocket Mouse,Rodentia,Heteromyidae,,none
Chaetodipus rostratus,Northern Sinaloan Pocket Mouse,Rodentia,Heteromyidae,,none
Chaetodipus rudinoris,Peninsular Pocket Mouse,Rodentia,Heteromyidae,,none
Chaetodipus siccus,Cerralvo Island Pocket Mouse,Rodentia,Heteromyidae,,none
Chaetodipus spinatus,Spiny Pocket Mouse,Rodentia,Heteromyidae,,none
Perognathus alticolus,White-eared Pocket Mouse,Rodentia,Heteromyidae,,none
Perognathus amplus,Arizona Pocket Mouse,Rodentia,Heteromyidae,,none
Perognathus fasciatus,Olive-backed Pocket Mouse,Rodentia,Heteromyidae,,none
Perognathus flavescens,Plains Pocket Mouse,Rodentia,Heteromyidae,,none
Perognathus flavus,Silky Pocket Mouse,Rodentia,Heteromyidae,,none
Perognathus inornatus,San Joaquin Pocket Mouse,Rodentia,Heteromyidae,,none
Perognathus longimembris,Little Pocket Mouse,Rodentia,Heteromyidae,,none
Perognathus merriami,Merriam's Pocket Mouse,Rodentia,Heteromyidae,,none
Perognathus mollipilosus,Great Basin Pocket Mouse,Rodentia,Heteromyidae,,none
Perognathus parvus,Columbia Plateau Pocket Mouse,Rodentia,Heteromyidae,,none
Allactaga major,Great Jerboa,Rodentia,Dipodidae,,none
Allactaga severtzovi,Severtzov's Jerboa,Rodentia,Dipodidae,,none
Allactodipus bobrinskii,Bobrinski's Jerboa,Rodentia,Dipodidae,,none
Orientallactaga balikunica,Balikun Jerboa,Rodentia,Dipodidae,,none
Orientallactaga bullata,Gobi Jerboa,Rodentia,Dipodidae,,none
Orientallactaga sibirica,Siberian Jerboa,Rodentia,Dipodidae,,none
Pygeretmus platyurus,Lesser Fat-tailed Jerboa,Rodentia,Dipodidae,,none
Pygeretmus pumilio,Dwarf Fat-tailed Jerboa,Rodentia,Dipodidae,,none
Pygeretmus shitkovi,Greater Fat-tailed Jerboa,Rodentia,Dipodidae,,none
Scarturus aulacotis,Syrian Five-toed Jerboa,Rodentia,Dipodidae,,none
Scarturus caprimulga,Afghan Five-toed Jerboa,Rodentia,Dipodidae,,none
Scarturus elater,Northern Small Five-toed Jerboa,Rodentia,Dipodidae,,none
Scarturus euphraticus,Euphrates Jerboa,Rodentia,Dipodidae,,none
Scarturus heptneri,Heptner's Five-toed Jerboa,Rodentia,Dipodidae,,none
Scarturus hotsoni,Hotson's Five-toed Jerboa,Rodentia,Dipodidae,,none
Scarturus indicus,Southern Small Five-toed Jerboa,Rodentia,Dipodidae,,none
Scarturus tetradactylus,Four-toed Jerboa,Rodentia,Dipodidae,,none
Scarturus vinogradovi,Vinogradov's Jerboa,Rodentia,Dipodidae,,none
Scarturus williamsi,Williams's Jerboa,Rodentia,Dipodidae,,none
Cardiocranius paradoxus,Five-toed Pygmy Jerboa,Rodentia,Dipodidae,,none
Salpingotus crassicauda,Thick-tailed Pygmy Jerboa,Rodentia,Dipodidae,,none
Salpingotus heptneri,Heptner's Pygmy Jerboa,Rodentia,Dipodidae,,none
Salpingotus kozlovi,Kozlov's Pygmy Jerboa,Rodentia,Dipodidae,,none
Salpingotus michaelis,Balochistan Pygmy Jerboa,Rodentia,Dipodidae,,none
Salpingotus pallidus,Pallid Pygmy Jerboa,Rodentia,Dipodidae,,none
Salpingotus thomasi,Thomas's Pygmy Jerboa,Rodentia,Dipodidae,,none
Chimaerodipus auritus,Ningxia Three-toed Jerboa,Rodentia,Dipodidae,,none
Dipus deasyi,Qaidam Three-toed Jerboa,Rodentia,Dipodidae,,none
Dipus sagitta,Northern Three-toed Jerboa,Rodentia,Dipodidae,,none
Eremodipus lichtensteini,Lichtenstein's Jerboa,Rodentia,Dipodidae,,none
Jaculus blanfordi,Blanford's Jerboa,Rodentia,Dipodidae,,none
Jaculus hirtipes,African Hammada Jerboa,Rodentia,Dipodidae,,none
Jaculus jaculus,Lesser Egyptian Jerboa,Rodentia,Dipodidae,,none
Jaculus loftusi,Arabian Jerboa,Rodentia,Dipodidae,,none
Jaculus orientalis,Greater Egyptian Jerboa,Rodentia,Dipodidae,,none
Stylodipus andrewsi,Mongolian Three-toed Jerboa,Rodentia,Dipodidae,,none
Stylodipus birulae,Zaisan Three-toed Jerboa,Rodentia,Dipodidae,,none
Stylodipus sungorus,Dzungarian Three-toed Jerboa,Rodentia,Dipodidae,,none
Stylodipus telum,Thick-tailed Three-toed Jerboa,Rodentia,Dipodidae,,none
Paradipus ctenodactylus,Comb-toed Jerboa,Rodentia,Dipodidae,,none
Euchoreutes naso,Long-eared Jerboa,Rodentia,Dipodidae,,none
Breviforamen shannanense,Short-foramen Birch Mouse,Rodentia,Sminthidae,,none
Sicista armenica,Armenian Birch Mouse,Rodentia,Sminthidae,,none
Sicista betulina,Northern Birch Mouse,Rodentia,Sminthidae,,none
Sicista brevicauda,Short-tailed Birch Mouse,Rodentia,Sminthidae,,none
Sicista caucasica,Caucasian Birch Mouse,Rodentia,Sminthidae,,none
Sicista caudata,Long-tailed Birch Mouse,Rodentia,Sminthidae,,none
Sicista cimlanica,Tsimlyansk Birch Mouse,Rodentia,Sminthidae,,none
Sicista concolor,Chinese Birch Mouse,Rodentia,Sminthidae,,none
Sicista kazbegica,Kazbeg Birch Mouse,Rodentia,Sminthidae,,none
Sicista kluchorica,Kluchor Birch Mouse,Rodentia,Sminthidae,,none
Sicista leathemi,Kashmir Birch Mouse,Rodentia,Sminthidae,,none
Sicista loriger,Nordmann's Birch Mouse,Rodentia,Sminthidae,,none
Sicista meiguites,Meigu Birch Mouse,Rodentia,Sminthidae,,none
Sicista napaea,Altai Birch Mouse,Rodentia,Sminthidae,,none
Sicista pseudonapaea,Gray Birch Mouse,Rodentia,Sminthidae,,none
Sicista severtzovi,Severtzov's Birch Mouse,Rodentia,Sminthidae,,none
Sicista strandi,Strand's Birch Mouse,Rodentia,Sminthidae,,none
Sicista subtilis,Southern Birch Mouse,Rodentia,Sminthidae,,none
Sicista talgarica,Talgar Birch Mouse,Rodentia,Sminthidae,,none
Sicista terskeica,Terskey Birch Mouse,Rodentia,Sminthidae,,none
Sicista tianschanica,Tian Shan Birch Mouse,Rodentia,Sminthidae,,none
Sicista trizona,Hungarian Birch Mouse,Rodentia,Sminthidae,,none
Sicista weigoldi,Sichuan Birch Mouse,Rodentia,Sminthidae,,none
Sicista zhetysuica,Zhetysu Birch Mouse,Rodentia,Sminthidae,,none
Eozapus setchuanus,Sichuan Jumping Mouse,Rodentia,Zapodidae,,none
Eozapus vicinus,Gansu Jumping Mouse,Rodentia,Zapodidae,,none
Eozapus wanglangensis,Wanglang Jumping Mouse,Rodentia,Zapodidae,,none
Napaeozapus abietorum,Western Woodland Jumping Mouse,Rodentia,Zapodidae,,none
Napaeozapus insignis,Eastern Woodland Jumping Mouse,Rodentia,Zapodidae,,none
Zapus hudsonius,Northern Meadow Jumping Mouse,Rodentia,Zapodidae,,none
Zapus luteus,Southern Meadow Jumping Mouse,Rodentia,Zapodidae,,none
Zapus montanus,Central Pacific Jumping Mouse,Rodentia,Zapodidae,,none
Zapus oregonus,Oregon Jumping Mouse,Rodentia,Zapodidae,,none
Zapus pacificus,Southern Pacific Jumping Mouse,Rodentia,Zapodidae,,none
Zapus princeps,Southwestern Jumping Mouse,Rodentia,Zapodidae,,none
Zapus saltator,Northwestern Jumping Mouse,Rodentia,Zapodidae,,none
Zapus trinotatus,Northern Pacific Jumping Mouse,Rodentia,Zapodidae,,none
Calomyscus bailwardi,Zagros Mountains Brush-tailed Mouse,Rodentia,Calomyscidae,,none
Calomyscus baluchi,Pakistan Brush-tailed Mouse,Rodentia,Calomyscidae,,none
Calomyscus behzadi,Behzad's Brush-tailed Mouse,Rodentia,Calomyscidae,,none
Calomyscus darvishi,Darvish's Brush-tailed Mouse,Rodentia,Calomyscidae,,none
Calomyscus elburzensis,Goodwin's Brush-tailed Mouse,Rodentia,Calomyscidae,,none
Calomyscus grandis,Noble Brush-tailed Mouse,Rodentia,Calomyscidae,,none
Calomyscus hotsoni,Hotson's Brush-tailed Mouse,Rodentia,Calomyscidae,,none
Calomyscus kermanensis,Kerman Brush-tailed Mouse,Rodentia,Calomyscidae,,none
Calomyscus kiabii,Atropatene Brush-tailed Mouse,Rodentia,Calomyscidae,,none
Calomyscus mystax,Great Balkhan Brush-tailed Mouse,Rodentia,Calomyscidae,,none
Calomyscus tsolovi,Syrian Brush-tailed Mouse,Rodentia,Calomyscidae,,none
Calomyscus urartensis,Urar Brush-tailed Mouse,Rodentia,Calomyscidae,,none
Arvicola amphibius,Eurasian Water Vole,Rodentia,Cricetidae,Arvicola amphibius_European Water Vole,exact
Arvicola destructor,Italian Water Vole,Rodentia,Cricetidae,,none
Arvicola persicus,Persian Water Vole,Rodentia,Cricetidae,,none
Arvicola sapidus,Southwestern Water Vole,Rodentia,Cricetidae,,none
Hyperacrius fertilis,Burrowing Vole,Rodentia,Cricetidae,,none
Hyperacrius wynnei,Murree Vole,Rodentia,Cricetidae,,none
Alexandromys alpinus,Alpine Vole,Rodentia,Cricetidae,,none
Alexandromys evoronensis,Evoron Vole,Rodentia,Cricetidae,,none
Alexandromys fortis,Reed Vole,Rodentia,Cricetidae,,none
Alexandromys kikuchii,Taiwan Vole,Rodentia,Cricetidae,,none
Alexandromys limnophilus,Lacustrine Vole,Rodentia,Cricetidae,,none
Alexandromys maximowiczii,Maximowicz's Vole,Rodentia,Cricetidae,,none
Alexandromys middendorffii,Middendorff's Vole,Rodentia,Cricetidae,,none
Alexandromys mongolicus,Mongolian Vole,Rodentia,Cricetidae,,none
Alexandromys montebelli,Japanese Grass Vole,Rodentia,Cricetidae,,none
Alexandromys mujanensis,Muya Valley Vole,Rodentia,Cricetidae,,none
Alexandromys oeconomus,Root Vole,Rodentia,Cricetidae,,none
Alexandromys sachalinensis,Sakhalin Vole,Rodentia,Cricetidae,,none
Alexandromys shantaricus,Shantar Vole,Rodentia,Cricetidae,,none
Chionomys gud,Gudaur Snow Vole,Rodentia,Cricetidae,,none
Chionomys lasistanius,Lazistan Snow Vole,Rodentia,Cricetidae,,none
Chionomys nivalis,European Snow Vole,Rodentia,Cricetidae,,none
Chionomys roberti,Robert's Snow Vole,Rodentia,Cricetidae,,none
Chionomys stekolnikovi,Stekolnikov's Snow Vole,Rodentia,Cricetidae,,none
Lasiopodomys brandtii,Brandt's Vole,Rodentia,Cricetidae,,none
Lasiopodomys mandarinus,Mandarin Vole,Rodentia,Cricetidae,,none
Lemmiscus curtatus,Sagebrush Vole,Rodentia,Cricetidae,,none
Microtus abbreviatus,Singing Vole,Rodentia,Cricetidae,Microtus miurus_Singing Vole,synonym
Microtus afghanus,Afghan Vole,Rodentia,Cricetidae,,none
Microtus agrestis,Short-tailed Field Vole,Rodentia,Cricetidae,Microtus agrestis_Field Vole,exact
Microtus anatolicus,Anatolian Vole,Rodentia,Cricetidae,,none
Microtus arvalis,Common Vole,Rodentia,Cricetidae,Microtus arvalis_Common Vole,exact
Microtus brachycercus,Calabria Pine Vole,Rodentia,Cricetidae,,none
Microtus bucharensis,Bucharian Vole,Rodentia,Cricetidae,,none
Microtus cabrerae,Cabrera's Vole,Rodentia,Cricetidae,,none
Microtus californicus,California Vole,Rodentia,Cricetidae,Microtus californicus_California Vole,exact
Microtus canicaudus,Gray-tailed Vole,Rodentia,Cricetidae,,none
Microtus chrotorrhinus,Rock Vole,Rodentia,Cricetidae,,none
Microtus daghestanicus,Caucasian Pine Vole,Rodentia,Cricetidae,,none
Microtus dogramacii,Dogramaci's Vole,Rodentia,Cricetidae,,none
Microtus drummondii,Western Meadow Vole,Rodentia,Cricetidae,,none
Microtus dukecampbelli,Florida Salt Marsh Vole,Rodentia,Cricetidae,,none
Microtus duodecimcostatus,Mediterranean Pine Vole,Rodentia,Cricetidae,,none
Microtus felteni,Balkan Pine Vole,Rodentia,Cricetidae,,none
Microtus fingeri,Anatolian Pine Vole,Rodentia,Cricetidae,,none
Microtus guatemalensis,Guatemalan Vole,Rodentia,Cricetidae,,none
Microtus guentheri,Levant Vole,Rodentia,Cricetidae,Microtus guentheri_Günther's Vole,exact
Microtus hartingi,Harting's Vole,Rodentia,Cricetidae,,none
Microtus ilaeus,Tian Shan Vole,Rodentia,Cricetidae,,none
Microtus irani,Iranian Vole,Rodentia,Cricetidae,,none
Microtus kermanensis,Kerman Vole,Rodentia,Cricetidae,,none
Microtus lavernedii,Mediterranean Field Vole,Rodentia,Cricetidae,,none
Microtus liechtensteini,Liechtenstein's Pine Vole,Rodentia,Cricetidae,,none
Microtus longicaudus,Long-tailed Vole,Rodentia,Cricetidae,,none
Microtus lusitanicus,Lusitanian Pine Vole,Rodentia,Cricetidae,,none
Microtus majori,Major's Pine Vole,Rodentia,Cricetidae,,none
Microtus mexicanus,Mexican Vole,Rodentia,Cricetidae,,none
Microtus mogollonensis,Mogollon Vole,Rodentia,Cricetidae,,none
Microtus montanus,Montane Vole,Rodentia,Cricetidae,,none
Microtus multiplex,Alpine Pine Vole,Rodentia,Cricetidae,,none
Microtus mustersi,Cyrenaica Vole,Rodentia,Cricetidae,,none
Microtus mystacinus,Caspian Gray Vole,Rodentia,Cricetidae,,none
Microtus nebrodensis,Sicilian Pine Vole,Rodentia,Cricetidae,,none
Microtus oaxacensis,Tarabundi Vole,Rodentia,Cricetidae,,none
Microtus obscurus,Altai Vole,Rodentia,Cricetidae,,none
Microtus ochrogaster,Prairie Vole,Rodentia,Cricetidae,,none
Microtus oregoni,Creeping Vole,Rodentia,Cricetidae,,none
Microtus paradoxus,Kopet Dag Pine Vole,Rodentia,Cricetidae,,none
Microtus pennsylvanicus,Eastern Meadow Vole,Rodentia,Cricetidae,Microtus pennsylvanicus_Eastern Meadow Vole,exact
Microtus pinetorum,Woodland Vole,Rodentia,Cricetidae,Microtus pinetorum_Woodland Vole,exact
Microtus pyrenaicus,Pyrenean Pine Vole,Rodentia,Cricetidae,,none
Microtus quasiater,Jalapan Vole,Rodentia,Cricetidae,,none
Microtus richardsoni,North American Water Vole,Rodentia,Cricetidae,,none
Microtus rossiaemeridionalis,East European Gray Vole,Rodentia,Cricetidae,,none
Microtus rozianus,Portuguese Field Vole,Rodentia,Cricetidae,,none
Microtus savii,Savi's Pine Vole,Rodentia,Cricetidae,,none
Microtus schelkovnikovi,Schelkovnikov's Pine Vole,Rodentia,Cricetidae,,none
Microtus schidlovskii,Schidlovski's Vole,Rodentia,Cricetidae,,none
Microtus socialis,Social Vole,Rodentia,Cricetidae,,none
Microtus subterraneus,Common Pine Vole,Rodentia,Cricetidae,,none
Microtus tatricus,Tatra Pine Vole,Rodentia,Cricetidae,,none
Microtus thomasi,Thomas's Pine Vole,Rodentia,Cricetidae,,none
Microtus townsendii,Townsend's Vole,Rodentia,Cricetidae,,none
Microtus transcaspicus,Transcaspian Vole,Rodentia,Cricetidae,,none
Microtus umbrosus,Zempoaltepec Vole,Rodentia,Cricetidae,,none
Microtus xanthognathus,Taiga Vole,Rodentia,Cricetidae,,none
Microtus yuldaschi,Juniper Vole,Rodentia,Cricetidae,,none
Mictomicrotus liangshanensis,Liangshan Vole,Rodentia,Cricetidae,,none
Neodon bershulaensis,Bershula Mountain Vole,Rodentia,Cricetidae,,none
Neodon bomiensis,Bomi Mountain Vole,Rodentia,Cricetidae,,none
Neodon chayuensis,Chayu Mountain Vole,Rodentia,Cricetidae,,none
Neodon clarkei,Clarke's Vole,Rodentia,Cricetidae,,none
Neodon forresti,Forrest's Mountain Vole,Rodentia,Cricetidae,,none
Neodon fuscus,Smoky Mountain Vole,Rodentia,Cricetidae,,none
Neodon irene,Irene Mountain Vole,Rodentia,Cricetidae,,none
Neodon konggordous,Konggordo Mountain Vole,Rodentia,Cricetidae,,none
Neodon kulakangria,Kulagangri Mountain Vole,Rodentia,Cricetidae,,none
Neodon leucurus,Blyth's Mountain Vole,Rodentia,Cricetidae,,none
Neodon lhozhagensis,Lhozhag Mountain Vole,Rodentia,Cricetidae,,none
Neodon liaoruii,Liao Rui's Mountain Vole,Rodentia,Cricetidae,,none
Neodon linzhiensis,Linzhi Mountain Vole,Rodentia,Cricetidae,,none
Neodon medogensis,Medog Mountain Vole,Rodentia,Cricetidae,,none
Neodon minor,Lesser Mountain Vole,Rodentia,Cricetidae,,none
Neodon namchabarwaensis,Namchabarwa Mountain Vole,Rodentia,Cricetidae,,none
Neodon nepalensis,Nepalese Mountain Vole,Rodentia,Cricetidae,,none
Neodon nyalamensis,Nyalam Mountain Vole,Rodentia,Cricetidae,,none
Neodon shergylaensis,Shergyla Mountain Vole,Rodentia,Cricetidae,,none
Neodon sikimensis,Sikkim Mountain Vole,Rodentia,Cricetidae,,none
Proedromys bedfordi,Duke of Bedford's Vole,Rodentia,Cricetidae,,none
Stenocranius gregalis,Narrow-headed Vole,Rodentia,Cricetidae,,none
Stenocranius raddei,Radde's Vole,Rodentia,Cricetidae,,none
Volemys millicens,Sichuan Vole,Rodentia,Cricetidae,,none
Volemys musseri,Marie's Vole,Rodentia,Cricetidae,,none
Alticola albicauda,White-tailed Mountain Vole,Rodentia,Cricetidae,,none
Alticola argentatus,Silver Mountain Vole,Rodentia,Cricetidae,,none
