scientific,common,order,family,tol_name,tol_how,birdnet_label,birdnet_how
Struthio molybdophanes,Somali Ostrich,Struthioniformes,Struthionidae,Struthio molybdophanes,exact,Struthio molybdophanes_Somali Ostrich,exact
Struthio camelus,Common Ostrich,Struthioniformes,Struthionidae,Struthio camelus,exact,Struthio camelus_Common Ostrich,exact
Dromaius novaehollandiae,Emu,Casuariiformes,Casuariidae,Dromaius novaehollandiae,exact,Dromaius novaehollandiae_Emu,exact
Casuarius casuarius,Southern Cassowary,Casuariiformes,Casuariidae,Casuarius casuarius,exact,Casuarius casuarius_Southern Cassowary,exact
Casuarius bennetti,Dwarf Cassowary,Casuariiformes,Casuariidae,Casuarius bennetti,exact,Casuarius bennetti_Dwarf Cassowary,exact
Casuarius unappendiculatus,Northern Cassowary,Casuariiformes,Casuariidae,Casuarius unappendiculatus,exact,Casuarius unappendiculatus_Northern Cassowary,exact
Apteryx owenii,Little Spotted Kiwi,Apterygiformes,Apterygidae,Apteryx owenii,exact,Apteryx owenii_Little Spotted Kiwi,exact
Apteryx maxima,Great Spotted Kiwi,Apterygiformes,Apterygidae,,none,Apteryx maxima_Great Spotted Kiwi,exact
Apteryx australis,Southern Brown Kiwi,Apterygiformes,Apterygidae,Apteryx australis,exact,Apteryx australis_Southern Brown Kiwi,exact
Apteryx rowi,Okarito Kiwi,Apterygiformes,Apterygidae,Apteryx rowi,exact,Apteryx rowi_Okarito Kiwi,exact
Apteryx mantelli,North Island Brown Kiwi,Apterygiformes,Apterygidae,Apteryx mantelli,exact,Apteryx mantelli_North Island Brown Kiwi,exact
Rhea pennata,Lesser Rhea,Rheiformes,Rheidae,Rhea pennata,exact,Rhea pennata_Lesser Rhea,exact
Rhea americana,Greater Rhea,Rheiformes,Rheidae,Rhea americana,exact,Rhea americana_Greater Rhea,exact
Tinamotis pentlandii,Puna Tinamou,Tinamiformes,Tinamidae,Tinamotis pentlandii,exact,Tinamotis pentlandii_Puna Tinamou,exact
Tinamotis ingoufi,Patagonian Tinamou,Tinamiformes,Tinamidae,Tinamotis ingoufi,exact,Tinamotis ingoufi_Patagonian Tinamou,exact
Eudromia formosa,Quebracho Crested Tinamou,Tinamiformes,Tinamidae,Eudromia formosa,exact,Eudromia formosa_Quebracho Crested Tinamou,exact
Eudromia elegans,Elegant Crested Tinamou,Tinamiformes,Tinamidae,Eudromia elegans,exact,Eudromia elegans_Elegant Crested Tinamou,exact
Taoniscus nanus,Dwarf Tinamou,Tinamiformes,Tinamidae,Taoniscus nanus,exact,Taoniscus nanus_Dwarf Tinamou,exact
Nothura boraquira,White-bellied Nothura,Tinamiformes,Tinamidae,Nothura boraquira,exact,Nothura boraquira_White-bellied Nothura,exact
Nothura minor,Lesser Nothura,Tinamiformes,Tinamidae,Nothura minor,exact,Nothura minor_Lesser Nothura,exact
Nothura darwinii,Darwin's Nothura,Tinamiformes,Tinamidae,Nothura darwinii,exact,Nothura darwinii_Darwin's Nothura,exact
Nothura maculosa,Spotted Nothura,Tinamiformes,Tinamidae,Nothura maculosa,exact,Nothura maculosa_Spotted Nothura,exact
Rhynchotus maculicollis,Huayco Tinamou,Tinamiformes,Tinamidae,Rhynchotus maculicollis,exact,Rhynchotus maculicollis_Huayco Tinamou,exact
Rhynchotus rufescens,Red-winged Tinamou,Tinamiformes,Tinamidae,Rhynchotus rufescens,exact,Rhynchotus rufescens_Red-winged Tinamou,exact
Nothoprocta taczanowskii,Taczanowski's Tinamou,Tinamiformes,Tinamidae,Nothoprocta taczanowskii,exact,Nothoprocta taczanowskii_Taczanowski's Tinamou,exact
Nothoprocta ornata,Ornate Tinamou,Tinamiformes,Tinamidae,Nothoprocta ornata,exact,Nothoprocta ornata_Ornate Tinamou,exact
Nothoprocta perdicaria,Chilean Tinamou,Tinamiformes,Tinamidae,Nothoprocta perdicaria,exact,Nothoprocta perdicaria_Chilean Tinamou,exact
Nothoprocta cinerascens,Brushland Tinamou,Tinamiformes,Tinamidae,Nothoprocta cinerascens,exact,Nothoprocta cinerascens_Brushland Tinamou,exact
Nothoprocta pentlandii,Andean Tinamou,Tinamiformes,Tinamidae,Nothoprocta pentlandii,exact,Nothoprocta pentlandii_Andean Tinamou,exact
Nothoprocta curvirostris,Curve-billed Tinamou,Tinamiformes,Tinamidae,Nothoprocta curvirostris,exact,Nothoprocta curvirostris_Curve-billed Tinamou,exact
Nothocercus julius,Tawny-breasted Tinamou,Tinamiformes,Tinamidae,Nothocercus julius,exact,Nothocercus julius_Tawny-breasted Tinamou,exact
Nothocercus bonapartei,Highland Tinamou,Tinamiformes,Tinamidae,Nothocercus bonapartei,exact,Nothocercus bonapartei_Highland Tinamou,exact
Nothocercus nigrocapillus,Hooded Tinamou,Tinamiformes,Tinamidae,Nothocercus nigrocapillus,exact,Nothocercus nigrocapillus_Hooded Tinamou,exact
Tinamus tao,Grey Tinamou,Tinamiformes,Tinamidae,Tinamus tao,exact,Tinamus tao_Grey Tinamou,exact
Tinamus solitarius,Solitary Tinamou,Tinamiformes,Tinamidae,Tinamus solitarius,exact,Tinamus solitarius_Solitary Tinamou,exact
Tinamus osgoodi,Black Tinamou,Tinamiformes,Tinamidae,Tinamus osgoodi,exact,Tinamus osgoodi_Black Tinamou,exact
Tinamus major,Great Tinamou,Tinamiformes,Tinamidae,Tinamus major,exact,Tinamus major_Great Tinamou,exact
Tinamus guttatus,White-throated Tinamou,Tinamiformes,Tinamidae,Tinamus guttatus,exact,Tinamus guttatus_White-throated Tinamou,exact
Crypturellus cinereus,Cinereous Tinamou,Tinamiformes,Tinamidae,Crypturellus cinereus,exact,Crypturellus cinereus_Cinereous Tinamou,exact
Crypturellus berlepschi,Berlepsch's Tinamou,Tinamiformes,Tinamidae,Crypturellus berlepschi,exact,Crypturellus berlepschi_Berlepsch's Tinamou,exact
Crypturellus soui,Little Tinamou,Tinamiformes,Tinamidae,Crypturellus soui,exact,Crypturellus soui_Little Tinamou,exact
Crypturellus ptaritepui,Tepui Tinamou,Tinamiformes,Tinamidae,,none,Crypturellus ptaritepui_Tepui Tinamou,exact
Crypturellus obsoletus,Brown Tinamou,Tinamiformes,Tinamidae,Crypturellus obsoletus,exact,Crypturellus obsoletus_Brown Tinamou,exact
Crypturellus undulatus,Undulated Tinamou,Tinamiformes,Tinamidae,Crypturellus undulatus,exact,Crypturellus undulatus_Undulated Tinamou,exact
Crypturellus transfasciatus,Pale-browed Tinamou,Tinamiformes,Tinamidae,Crypturellus transfasciatus,exact,Crypturellus transfasciatus_Pale-browed Tinamou,exact
Crypturellus strigulosus,Brazilian Tinamou,Tinamiformes,Tinamidae,Crypturellus strigulosus,exact,Crypturellus strigulosus_Brazilian Tinamou,exact
Crypturellus duidae,Grey-legged Tinamou,Tinamiformes,Tinamidae,Crypturellus duidae,exact,Crypturellus duidae_Grey-legged Tinamou,exact
Crypturellus erythropus,Red-legged Tinamou,Tinamiformes,Tinamidae,Crypturellus erythropus,exact,Crypturellus erythropus_Red-legged Tinamou,exact
Crypturellus noctivagus,Yellow-legged Tinamou,Tinamiformes,Tinamidae,Crypturellus noctivagus,exact,Crypturellus noctivagus_Yellow-legged Tinamou,exact
Crypturellus atrocapillus,Black-capped Tinamou,Tinamiformes,Tinamidae,Crypturellus atrocapillus,exact,Crypturellus atrocapillus_Black-capped Tinamou,exact
Crypturellus boucardi,Slaty-breasted Tinamou,Tinamiformes,Tinamidae,Crypturellus boucardi,exact,Crypturellus boucardi_Slaty-breasted Tinamou,exact
Crypturellus kerriae,Choco Tinamou,Tinamiformes,Tinamidae,,none,Crypturellus kerriae_Choco Tinamou,exact
Crypturellus variegatus,Variegated Tinamou,Tinamiformes,Tinamidae,Crypturellus variegatus,exact,Crypturellus variegatus_Variegated Tinamou,exact
Crypturellus cinnamomeus,Thicket Tinamou,Tinamiformes,Tinamidae,Crypturellus cinnamomeus,exact,Crypturellus cinnamomeus_Thicket Tinamou,exact
Crypturellus brevirostris,Rusty Tinamou,Tinamiformes,Tinamidae,,none,Crypturellus brevirostris_Rusty Tinamou,exact
Crypturellus bartletti,Bartlett's Tinamou,Tinamiformes,Tinamidae,Crypturellus bartletti,exact,Crypturellus bartletti_Bartlett's Tinamou,exact
Crypturellus parvirostris,Small-billed Tinamou,Tinamiformes,Tinamidae,Crypturellus parvirostris,exact,Crypturellus parvirostris_Small-billed Tinamou,exact
Crypturellus casiquiare,Barred Tinamou,Tinamiformes,Tinamidae,,none,Crypturellus casiquiare_Barred Tinamou,exact
Crypturellus tataupa,Tataupa Tinamou,Tinamiformes,Tinamidae,Crypturellus tataupa,exact,Crypturellus tataupa_Tataupa Tinamou,exact
Anhima cornuta,Horned Screamer,Anseriformes,Anhimidae,Anhima cornuta,exact,Anhima cornuta_Horned Screamer,exact
Chauna chavaria,Northern Screamer,Anseriformes,Anhimidae,Chauna chavaria,exact,Chauna chavaria_Northern Screamer,exact
Chauna torquata,Southern Screamer,Anseriformes,Anhimidae,Chauna torquata,exact,Chauna torquata_Southern Screamer,exact
Anseranas semipalmata,Magpie Goose,Anseriformes,Anseranatidae,Anseranas semipalmata,exact,Anseranas semipalmata_Magpie Goose,exact
Thalassornis leuconotus,White-backed Duck,Anseriformes,Anatidae,Thalassornis leuconotus,exact,Thalassornis leuconotus_White-backed Duck,exact
Dendrocygna guttata,Spotted Whistling Duck,Anseriformes,Anatidae,Dendrocygna guttata,exact,Dendrocygna guttata_Spotted Whistling Duck,exact
Dendrocygna eytoni,Plumed Whistling Duck,Anseriformes,Anatidae,Dendrocygna eytoni,exact,Dendrocygna eytoni_Plumed Whistling Duck,exact
Dendrocygna viduata,White-faced Whistling Duck,Anseriformes,Anatidae,Dendrocygna viduata,exact,Dendrocygna viduata_White-faced Whistling Duck,exact
Dendrocygna autumnalis,Black-bellied Whistling Duck,Anseriformes,Anatidae,Dendrocygna autumnalis,exact,Dendrocygna autumnalis_Black-bellied Whistling Duck,exact
Dendrocygna arborea,West Indian Whistling Duck,Anseriformes,Anatidae,Dendrocygna arborea,exact,Dendrocygna arborea_West Indian Whistling Duck,exact
Dendrocygna bicolor,Fulvous Whistling Duck,Anseriformes,Anatidae,Dendrocygna bicolor,exact,Dendrocygna bicolor_Fulvous Whistling Duck,exact
Dendrocygna arcuata,Wandering Whistling Duck,Anseriformes,Anatidae,Dendrocygna arcuata,exact,Dendrocygna arcuata_Wandering Whistling Duck,exact
Dendrocygna javanica,Lesser Whistling Duck,Anseriformes,Anatidae,Dendrocygna javanica,exact,Dendrocygna javanica_Lesser Whistling Duck,exact
Biziura lobata,Musk Duck,Anseriformes,Anatidae,Biziura lobata,exact,Biziura lobata_Musk Duck,exact
Nettapus pulchellus,Green Pygmy Goose,Anseriformes,Anatidae,Nettapus pulchellus,exact,Nettapus pulchellus_Green Pygmy Goose,exact
Nettapus coromandelianus,Cotton Pygmy Goose,Anseriformes,Anatidae,Nettapus coromandelianus,exact,Nettapus coromandelianus_Cotton Pygmy Goose,exact
Nettapus auritus,African Pygmy Goose,Anseriformes,Anatidae,Nettapus auritus,exact,Nettapus auritus_African Pygmy Goose,exact
Stictonetta naevosa,Freckled Duck,Anseriformes,Anatidae,Stictonetta naevosa,exact,Stictonetta naevosa_Freckled Duck,exact
Heteronetta atricapilla,Black-headed Duck,Anseriformes,Anatidae,Heteronetta atricapilla,exact,Heteronetta atricapilla_Black-headed Duck,exact
Nomonyx dominicus,Masked Duck,Anseriformes,Anatidae,Nomonyx dominicus,exact,Nomonyx dominicus_Masked Duck,exact
Oxyura leucocephala,White-headed Duck,Anseriformes,Anatidae,Oxyura leucocephala,exact,Oxyura leucocephala_White-headed Duck,exact
Oxyura australis,Blue-billed Duck,Anseriformes,Anatidae,Oxyura australis,exact,Oxyura australis_Blue-billed Duck,exact
Oxyura maccoa,Maccoa Duck,Anseriformes,Anatidae,Oxyura maccoa,exact,Oxyura maccoa_Maccoa Duck,exact
Oxyura vittata,Lake Duck,Anseriformes,Anatidae,Oxyura vittata,exact,Oxyura vittata_Lake Duck,exact
Oxyura jamaicensis,Ruddy Duck,Anseriformes,Anatidae,Oxyura jamaicensis,exact,Oxyura jamaicensis_Ruddy Duck,exact
Plectropterus gambensis,Spur-winged Goose,Anseriformes,Anatidae,Plectropterus gambensis,exact,Plectropterus gambensis_Spur-winged Goose,exact
Malacorhynchus membranaceus,Pink-eared Duck,Anseriformes,Anatidae,Malacorhynchus membranaceus,exact,Malacorhynchus membranaceus_Pink-eared Duck,exact
Coscoroba coscoroba,Coscoroba Swan,Anseriformes,Anatidae,Coscoroba coscoroba,exact,Coscoroba coscoroba_Coscoroba Swan,exact
Cereopsis novaehollandiae,Cape Barren Goose,Anseriformes,Anatidae,Cereopsis novaehollandiae,exact,Cereopsis novaehollandiae_Cape Barren Goose,exact
Cygnus melancoryphus,Black-necked Swan,Anseriformes,Anatidae,Cygnus melancoryphus,exact,Cygnus melancoryphus_Black-necked Swan,exact
Cygnus olor,Mute Swan,Anseriformes,Anatidae,Cygnus olor,exact,Cygnus olor_Mute Swan,exact
Cygnus atratus,Black Swan,Anseriformes,Anatidae,Cygnus atratus,exact,Cygnus atratus_Black Swan,exact
Cygnus columbianus,Tundra Swan,Anseriformes,Anatidae,Cygnus columbianus,exact,Cygnus columbianus_Tundra Swan,exact
Cygnus cygnus,Whooper Swan,Anseriformes,Anatidae,Cygnus cygnus,exact,Cygnus cygnus_Whooper Swan,exact
Cygnus buccinator,Trumpeter Swan,Anseriformes,Anatidae,Cygnus buccinator,exact,Cygnus buccinator_Trumpeter Swan,exact
Branta bernicla,Brant Goose,Anseriformes,Anatidae,Branta bernicla,exact,Branta bernicla_Brant Goose,exact
Branta ruficollis,Red-breasted Goose,Anseriformes,Anatidae,Branta ruficollis,exact,Branta ruficollis_Red-breasted Goose,exact
Branta sandvicensis,Nene,Anseriformes,Anatidae,Branta sandvicensis,exact,Branta sandvicensis_Nene,exact
Branta canadensis,Canada Goose,Anseriformes,Anatidae,Branta canadensis,exact,Branta canadensis_Canada Goose,exact
Branta leucopsis,Barnacle Goose,Anseriformes,Anatidae,Branta leucopsis,exact,Branta leucopsis_Barnacle Goose,exact
Branta hutchinsii,Cackling Goose,Anseriformes,Anatidae,Branta hutchinsii,exact,Branta hutchinsii_Cackling Goose,exact
Anser indicus,Bar-headed Goose,Anseriformes,Anatidae,Anser indicus,exact,Anser indicus_Bar-headed Goose,exact
Anser canagicus,Emperor Goose,Anseriformes,Anatidae,Anser canagicus,exact,Anser canagicus_Emperor Goose,exact
Anser rossii,Ross's Goose,Anseriformes,Anatidae,Anser rossii,exact,Anser rossii_Ross's Goose,exact
Anser caerulescens,Snow Goose,Anseriformes,Anatidae,Anser caerulescens,exact,Anser caerulescens_Snow Goose,exact
Anser anser,Greylag Goose,Anseriformes,Anatidae,Anser anser,exact,Anser anser_Greylag Goose,exact
Anser cygnoides,Swan Goose,Anseriformes,Anatidae,Anser cygnoides,exact,Anser cygnoides_Swan Goose,exact
Anser erythropus,Lesser White-fronted Goose,Anseriformes,Anatidae,Anser erythropus,exact,Anser erythropus_Lesser White-fronted Goose,exact
Anser albifrons,Greater White-fronted Goose,Anseriformes,Anatidae,Anser albifrons,exact,Anser albifrons_Greater White-fronted Goose,exact
Anser serrirostris,Tundra Bean Goose,Anseriformes,Anatidae,Anser serrirostris,exact,Anser serrirostris_Tundra Bean Goose,exact
Anser brachyrhynchus,Pink-footed Goose,Anseriformes,Anatidae,Anser brachyrhynchus,exact,Anser brachyrhynchus_Pink-footed Goose,exact
Anser fabalis,Taiga Bean Goose,Anseriformes,Anatidae,Anser fabalis,exact,Anser fabalis_Taiga Bean Goose,exact
Merganetta armata,Torrent Duck,Anseriformes,Anatidae,Merganetta armata,exact,Merganetta armata_Torrent Duck,exact
Callonetta leucophrys,Ringed Teal,Anseriformes,Anatidae,Callonetta leucophrys,exact,Callonetta leucophrys_Ringed Teal,exact
Cairina moschata,Muscovy Duck,Anseriformes,Anatidae,Cairina moschata,exact,Cairina moschata_Muscovy Duck,exact
Aix galericulata,Mandarin Duck,Anseriformes,Anatidae,Aix galericulata,exact,Aix galericulata_Mandarin Duck,exact
Aix sponsa,Wood Duck,Anseriformes,Anatidae,Aix sponsa,exact,Aix sponsa_Wood Duck,exact
Neochen jubata,Orinoco Goose,Anseriformes,Anatidae,Neochen jubata,exact,,none
Chloephaga melanoptera,Andean Goose,Anseriformes,Anatidae,Chloephaga melanoptera,exact,,none
Chloephaga picta,Upland Goose,Anseriformes,Anatidae,Chloephaga picta,exact,Chloephaga picta_Upland Goose,exact
Chloephaga hybrida,Kelp Goose,Anseriformes,Anatidae,Chloephaga hybrida,exact,Chloephaga hybrida_Kelp Goose,exact
Chloephaga poliocephala,Ashy-headed Goose,Anseriformes,Anatidae,Chloephaga poliocephala,exact,Chloephaga poliocephala_Ashy-headed Goose,exact
Chloephaga rubidiceps,Ruddy-headed Goose,Anseriformes,Anatidae,Chloephaga rubidiceps,exact,Chloephaga rubidiceps_Ruddy-headed Goose,exact
Radjah radjah,Radjah Shelduck,Anseriformes,Anatidae,Radjah radjah,exact,Radjah radjah_Radjah Shelduck,exact
Alopochen aegyptiaca,Egyptian Goose,Anseriformes,Anatidae,Alopochen aegyptiaca,exact,Alopochen aegyptiaca_Egyptian Goose,exact
Alopochen mauritiana,Mauritius Sheldgoose,Anseriformes,Anatidae,,none,,none
Alopochen kervazoi,Reunion Sheldgoose,Anseriformes,Anatidae,,none,,none
Tadorna tadorna,Common Shelduck,Anseriformes,Anatidae,Tadorna tadorna,exact,Tadorna tadorna_Common Shelduck,exact
Tadorna cristata,Crested Shelduck,Anseriformes,Anatidae,Tadorna cristata,exact,,none
Tadorna cana,South African Shelduck,Anseriformes,Anatidae,Tadorna cana,exact,Tadorna cana_South African Shelduck,exact
Tadorna ferruginea,Ruddy Shelduck,Anseriformes,Anatidae,Tadorna ferruginea,exact,Tadorna ferruginea_Ruddy Shelduck,exact
Tadorna variegata,Paradise Shelduck,Anseriformes,Anatidae,Tadorna variegata,exact,Tadorna variegata_Paradise Shelduck,exact
Tadorna tadornoides,Australian Shelduck,Anseriformes,Anatidae,Tadorna tadornoides,exact,Tadorna tadornoides_Australian Shelduck,exact
Clangula hyemalis,Long-tailed Duck,Anseriformes,Anatidae,Clangula hyemalis,exact,Clangula hyemalis_Long-tailed Duck,exact
Polysticta stelleri,Steller's Eider,Anseriformes,Anatidae,Polysticta stelleri,exact,Polysticta stelleri_Steller's Eider,exact
Camptorhynchus labradorius,Labrador Duck,Anseriformes,Anatidae,Camptorhynchus labradorius,exact,,none
Somateria fischeri,Spectacled Eider,Anseriformes,Anatidae,Somateria fischeri,exact,Somateria fischeri_Spectacled Eider,exact
Somateria spectabilis,King Eider,Anseriformes,Anatidae,Somateria spectabilis,exact,Somateria spectabilis_King Eider,exact
Somateria mollissima,Common Eider,Anseriformes,Anatidae,Somateria mollissima,exact,Somateria mollissima_Common Eider,exact
Histrionicus histrionicus,Harlequin Duck,Anseriformes,Anatidae,Histrionicus histrionicus,exact,Histrionicus histrionicus_Harlequin Duck,exact
Melanitta nigra,Common Scoter,Anseriformes,Anatidae,Melanitta nigra,exact,Melanitta nigra_Common Scoter,exact
Melanitta americana,Black Scoter,Anseriformes,Anatidae,Melanitta americana,exact,Melanitta americana_Black Scoter,exact
Melanitta perspicillata,Surf Scoter,Anseriformes,Anatidae,Melanitta perspicillata,exact,Melanitta perspicillata_Surf Scoter,exact
Melanitta fusca,Velvet Scoter,Anseriformes,Anatidae,Melanitta fusca,exact,Melanitta fusca_Velvet Scoter,exact
Melanitta deglandi,White-winged Scoter,Anseriformes,Anatidae,Melanitta deglandi,exact,Melanitta deglandi_White-winged Scoter,exact
Melanitta stejnegeri,Stejneger's Scoter,Anseriformes,Anatidae,Melanitta stejnegeri,exact,Melanitta stejnegeri_Stejneger's Scoter,exact
Bucephala albeola,Bufflehead,Anseriformes,Anatidae,Bucephala albeola,exact,Bucephala albeola_Bufflehead,exact
Bucephala islandica,Barrow's Goldeneye,Anseriformes,Anatidae,Bucephala islandica,exact,Bucephala islandica_Barrow's Goldeneye,exact
Bucephala clangula,Common Goldeneye,Anseriformes,Anatidae,Bucephala clangula,exact,Bucephala clangula_Common Goldeneye,exact
Mergellus albellus,Smew,Anseriformes,Anatidae,Mergellus albellus,exact,Mergellus albellus_Smew,exact
Lophodytes cucullatus,Hooded Merganser,Anseriformes,Anatidae,Lophodytes cucullatus,exact,Lophodytes cucullatus_Hooded Merganser,exact
Mergus serrator,Red-breasted Merganser,Anseriformes,Anatidae,Mergus serrator,exact,Mergus serrator_Red-breasted Merganser,exact
Mergus squamatus,Scaly-sided Merganser,Anseriformes,Anatidae,Mergus squamatus,exact,Mergus squamatus_Scaly-sided Merganser,exact
Mergus octosetaceus,Brazilian Merganser,Anseriformes,Anatidae,Mergus octosetaceus,exact,Mergus octosetaceus_Brazilian Merganser,exact
Mergus australis,New Zealand Merganser,Anseriformes,Anatidae,Mergus australis,exact,,none
Mergus merganser,Common Merganser,Anseriformes,Anatidae,Mergus merganser,exact,Mergus merganser_Common Merganser,exact
Sarkidiornis melanotos,Knob-billed Duck,Anseriformes,Anatidae,Sarkidiornis melanotos,exact,Sarkidiornis melanotos_Knob-billed Duck,exact
Sarkidiornis sylvicola,Comb Duck,Anseriformes,Anatidae,Sarkidiornis sylvicola,exact,Sarkidiornis sylvicola_Comb Duck,exact
Hymenolaimus malacorhynchos,Blue Duck,Anseriformes,Anatidae,Hymenolaimus malacorhynchos,exact,Hymenolaimus malacorhynchos_Blue Duck,exact
Chenonetta jubata,Maned Duck,Anseriformes,Anatidae,Chenonetta jubata,exact,Chenonetta jubata_Maned Duck,exact
Cyanochen cyanoptera,Blue-winged Goose,Anseriformes,Anatidae,Cyanochen cyanoptera,exact,Cyanochen cyanoptera_Blue-winged Goose,exact
Pteronetta hartlaubii,Hartlaub's Duck,Anseriformes,Anatidae,Pteronetta hartlaubii,exact,Pteronetta hartlaubii_Hartlaub's Duck,exact
Marmaronetta angustirostris,Marbled Duck,Anseriformes,Anatidae,Marmaronetta angustirostris,exact,Marmaronetta angustirostris_Marbled Duck,exact
Asarcornis scutulata,White-winged Duck,Anseriformes,Anatidae,Asarcornis scutulata,exact,Asarcornis scutulata_White-winged Duck,exact
Rhodonessa caryophyllacea,Pink-headed Duck,Anseriformes,Anatidae,Rhodonessa caryophyllacea,exact,Rhodonessa caryophyllacea_Pink-headed Duck,exact
Netta rufina,Red-crested Pochard,Anseriformes,Anatidae,Netta rufina,exact,Netta rufina_Red-crested Pochard,exact
Netta erythrophthalma,Southern Pochard,Anseriformes,Anatidae,Netta erythrophthalma,exact,Netta erythrophthalma_Southern Pochard,exact
Netta peposaca,Rosy-billed Pochard,Anseriformes,Anatidae,Netta peposaca,exact,Netta peposaca_Rosy-billed Pochard,exact
Aythya nyroca,Ferruginous Duck,Anseriformes,Anatidae,Aythya nyroca,exact,Aythya nyroca_Ferruginous Duck,exact
Aythya innotata,Madagascar Pochard,Anseriformes,Anatidae,Aythya innotata,exact,Aythya innotata_Madagascar Pochard,exact
Aythya baeri,Baer's Pochard,Anseriformes,Anatidae,Aythya baeri,exact,Aythya baeri_Baer's Pochard,exact
Aythya australis,Hardhead,Anseriformes,Anatidae,Aythya australis,exact,Aythya australis_Hardhead,exact
Aythya ferina,Common Pochard,Anseriformes,Anatidae,Aythya ferina,exact,Aythya ferina_Common Pochard,exact
Aythya valisineria,Canvasback,Anseriformes,Anatidae,Aythya valisineria,exact,Aythya valisineria_Canvasback,exact
Aythya collaris,Ring-necked Duck,Anseriformes,Anatidae,Aythya collaris,exact,Aythya collaris_Ring-necked Duck,exact
Aythya americana,Redhead,Anseriformes,Anatidae,Aythya americana,exact,Aythya americana_Redhead,exact
Aythya fuligula,Tufted Duck,Anseriformes,Anatidae,Aythya fuligula,exact,Aythya fuligula_Tufted Duck,exact
Aythya novaeseelandiae,New Zealand Scaup,Anseriformes,Anatidae,Aythya novaeseelandiae,exact,Aythya novaeseelandiae_New Zealand Scaup,exact
Aythya affinis,Lesser Scaup,Anseriformes,Anatidae,Aythya affinis,exact,Aythya affinis_Lesser Scaup,exact
Aythya marila,Greater Scaup,Anseriformes,Anatidae,Aythya marila,exact,Aythya marila_Greater Scaup,exact
Salvadorina waigiuensis,Salvadori's Teal,Anseriformes,Anatidae,Salvadorina waigiuensis,exact,Salvadorina waigiuensis_Salvadori's Teal,exact
Lophonetta specularioides,Crested Duck,Anseriformes,Anatidae,Lophonetta specularioides,exact,Lophonetta specularioides_Crested Duck,exact
Speculanas specularis,Bronze-winged Duck,Anseriformes,Anatidae,Speculanas specularis,exact,Speculanas specularis_Bronze-winged Duck,exact
Amazonetta brasiliensis,Brazilian Teal,Anseriformes,Anatidae,Amazonetta brasiliensis,exact,Amazonetta brasiliensis_Brazilian Teal,exact
Tachyeres patachonicus,Flying Steamer Duck,Anseriformes,Anatidae,Tachyeres patachonicus,exact,Tachyeres patachonicus_Flying Steamer Duck,exact
Tachyeres pteneres,Fuegian Steamer Duck,Anseriformes,Anatidae,Tachyeres pteneres,exact,Tachyeres pteneres_Fuegian Steamer Duck,exact
Tachyeres brachypterus,Falkland Steamer Duck,Anseriformes,Anatidae,Tachyeres brachypterus,exact,Tachyeres brachypterus_Falkland Steamer Duck,exact
Tachyeres leucocephalus,Chubut Steamer Duck,Anseriformes,Anatidae,Tachyeres leucocephalus,exact,Tachyeres leucocephalus_Chubut Steamer Duck,exact
Sibirionetta formosa,Baikal Teal,Anseriformes,Anatidae,Sibirionetta formosa,exact,Sibirionetta formosa_Baikal Teal,exact
Spatula querquedula,Garganey,Anseriformes,Anatidae,Spatula querquedula,exact,Spatula querquedula_Garganey,exact
Spatula hottentota,Blue-billed Teal,Anseriformes,Anatidae,Spatula hottentota,exact,Spatula hottentota_Blue-billed Teal,exact
Spatula puna,Puna Teal,Anseriformes,Anatidae,Spatula puna,exact,Spatula puna_Puna Teal,exact
Spatula versicolor,Silver Teal,Anseriformes,Anatidae,Spatula versicolor,exact,Spatula versicolor_Silver Teal,exact
Spatula platalea,Red Shoveler,Anseriformes,Anatidae,Spatula platalea,exact,Spatula platalea_Red Shoveler,exact
Spatula discors,Blue-winged Teal,Anseriformes,Anatidae,Spatula discors,exact,Spatula discors_Blue-winged Teal,exact
Spatula cyanoptera,Cinnamon Teal,Anseriformes,Anatidae,Spatula cyanoptera,exact,Spatula cyanoptera_Cinnamon Teal,exact
Spatula smithii,Cape Shoveler,Anseriformes,Anatidae,Spatula smithii,exact,Spatula smithii_Cape Shoveler,exact
Spatula clypeata,Northern Shoveler,Anseriformes,Anatidae,Spatula clypeata,exact,Spatula clypeata_Northern Shoveler,exact
Spatula rhynchotis,Australasian Shoveler,Anseriformes,Anatidae,Spatula rhynchotis,exact,Spatula rhynchotis_Australasian Shoveler,exact
Mareca falcata,Falcated Duck,Anseriformes,Anatidae,Mareca falcata,exact,Mareca falcata_Falcated Duck,exact
Mareca strepera,Gadwall,Anseriformes,Anatidae,Mareca strepera,exact,Mareca strepera_Gadwall,exact
Mareca marecula,Amsterdam Wigeon,Anseriformes,Anatidae,,none,,none
Mareca penelope,Eurasian Wigeon,Anseriformes,Anatidae,Mareca penelope,exact,Mareca penelope_Eurasian Wigeon,exact
Mareca americana,American Wigeon,Anseriformes,Anatidae,Mareca americana,exact,Mareca americana_American Wigeon,exact
Mareca sibilatrix,Chiloe Wigeon,Anseriformes,Anatidae,Mareca sibilatrix,exact,Mareca sibilatrix_Chiloe Wigeon,exact
Anas sparsa,African Black Duck,Anseriformes,Anatidae,Anas sparsa,exact,Anas sparsa_African Black Duck,exact
Anas melleri,Meller's Duck,Anseriformes,Anatidae,Anas melleri,exact,Anas melleri_Meller's Duck,exact
